HRG_Code,HRG_Desc,HRG_Version,HRG_Type,Exc_All_Settings,HRG_Chapter_Code,HRG_Chapter_Desc,HRG_SubChapter_Code,HRG_SubChapter_Desc
EC11A,Complex Procedures for Congenital Heart Disease with CC Score 15+,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC11B,Complex Procedures for Congenital Heart Disease with CC Score 7-14,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC11C,Complex Procedures for Congenital Heart Disease with CC Score 0-6,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC12A,Very Major Procedures for Congenital Heart Disease with CC Score 9+,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC12B,Very Major Procedures for Congenital Heart Disease with CC Score 4-8,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC12C,Very Major Procedures for Congenital Heart Disease with CC Score 0-3,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC13A,Major Procedures for Congenital Heart Disease with CC Score 9+,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC13B,Major Procedures for Congenital Heart Disease with CC Score 4-8,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC13C,Major Procedures for Congenital Heart Disease with CC Score 0-3,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC14A,Intermediate Procedures for Congenital Heart Disease with CC Score 9+,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC14B,Intermediate Procedures for Congenital Heart Disease with CC Score 4-8,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC14C,Intermediate Procedures for Congenital Heart Disease with CC Score 0-3,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC15A,Minor Procedures for Congenital Heart Disease with CC Score 4+,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC15B,Minor Procedures for Congenital Heart Disease with CC Score 0-3,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC20A,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 4+,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC20B,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 0-3,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC21Z,Complex Echocardiogram for Congenital Heart Disease,4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
EC22Z,"Electrocardiogram Monitoring or Stress Testing, for Congenital Heart Disease",4+,C,N,E,Cardiac,EC,Open and Interventional Procedures for Congenital Heart Disease
ED01Z,Heart and Lung Transplant,4+,C,Y,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED04Z,Complex Heart Transplant,4+,C,Y,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED05Z,Standard Heart Transplant,4+,C,Y,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED06Z,"Insertion of Short-Term Bridge to Transplant Ventricular Assist Device, with Heart Transplant",4+,C,Y,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED07Z,"Insertion of Short-Term Bridge to Transplant Ventricular Assist Device, without Heart Transplant",4+,C,Y,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED08Z,Complex Insertion of Long-Term Bridge to Transplant Ventricular Assist Device,4+,C,Y,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED09Z,Standard Insertion of Long-Term Bridge to Transplant Ventricular Assist Device,4+,C,Y,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED11Z,Standard Repair of Descending Thoracic Aorta,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED12A,Complex Repair of Aortic Root with CC Score 7+,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED12B,Complex Repair of Aortic Root with CC Score 0-6,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED13A,Standard Repair of Aortic Root with CC Score 7+,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED13B,Standard Repair of Aortic Root with CC Score 0-6,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED14A,Complex Repair of Ascending Thoracic Aorta with CC Score 7+,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED14B,Complex Repair of Ascending Thoracic Aorta with CC Score 0-6,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED15A,Standard Repair of Ascending Thoracic Aorta with CC Score 7+,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED15B,Standard Repair of Ascending Thoracic Aorta with CC Score 0-6,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED16Z,Hybrid Repair of Descending Thoracic Aorta or Aortic Arch,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED17Z,Very Complex Repair of Descending Thoracic Aorta or Aortic Arch,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED18Z,Complex Repair of Descending Thoracic Aorta or Aortic Arch,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED20A,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED20B,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED21A,"Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED21B,"Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED22A,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED22B,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED22C,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED23A,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED23B,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED23C,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED24A,"Complex, Single Heart Valve Replacement or Repair, with CC Score 11+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED24B,"Complex, Single Heart Valve Replacement or Repair, with CC Score 6-10",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED24C,"Complex, Single Heart Valve Replacement or Repair, with CC Score 0-5",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED25A,"Standard, Single Heart Valve Replacement or Repair, with CC Score 11+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED25B,"Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED25C,"Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED26A,Complex Coronary Artery Bypass Graft with CC Score 10+,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED26B,Complex Coronary Artery Bypass Graft with CC Score 5-9,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED26C,Complex Coronary Artery Bypass Graft with CC Score 0-4,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED27A,Major Coronary Artery Bypass Graft with CC Score 10+,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED27B,Major Coronary Artery Bypass Graft with CC Score 5-9,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED27C,Major Coronary Artery Bypass Graft with CC Score 0-4,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED28A,Standard Coronary Artery Bypass Graft with CC Score 10+,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED28B,Standard Coronary Artery Bypass Graft with CC Score 5-9,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED28C,Standard Coronary Artery Bypass Graft with CC Score 0-4,4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED30A,"Complex, Other Operations on Heart or Pericardium, with CC Score 10+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED30B,"Complex, Other Operations on Heart or Pericardium, with CC Score 5-9",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED30C,"Complex, Other Operations on Heart or Pericardium, with CC Score 0-4",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED31A,"Standard, Other Operations on Heart or Pericardium, with CC Score 10+",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED31B,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
ED31C,"Standard, Other Operations on Heart or Pericardium, with CC Score 0-4",4+,C,N,E,Cardiac,ED,Open Cardiac Procedures for Acquired Conditions
EY01A,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 9+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY01B,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 0-8",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY02A,Implantation of Cardioverter Defibrillator with CC Score 9+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY02B,Implantation of Cardioverter Defibrillator with CC Score 0-8,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY03Z,Implantation of Biventricular Pacemaker with Other Percutaneous Intervention,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY04A,Implantation of Biventricular Pacemaker with CC Score 6+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY04B,Implantation of Biventricular Pacemaker with CC Score 0-5,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY05A,"Implantation of Dual-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY05B,"Implantation of Dual-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY06A,Implantation of Dual-Chamber Pacemaker with CC Score 12+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY06B,Implantation of Dual-Chamber Pacemaker with CC Score 9-11,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY06C,Implantation of Dual-Chamber Pacemaker with CC Score 6-8,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY06D,Implantation of Dual-Chamber Pacemaker with CC Score 3-5,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY06E,Implantation of Dual-Chamber Pacemaker with CC Score 0-2,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY07A,"Implantation of Single-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY07B,"Implantation of Single-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY08A,Implantation of Single-Chamber Pacemaker with CC Score 12+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY08B,Implantation of Single-Chamber Pacemaker with CC Score 9-11,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY08C,Implantation of Single-Chamber Pacemaker with CC Score 6-8,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY08D,Implantation of Single-Chamber Pacemaker with CC Score 3-5,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY08E,Implantation of Single-Chamber Pacemaker with CC Score 0-2,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY11Z,Testing of Cardiac Pacemaker or Cardioverter Defibrillator,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY12A,Implantation of Electrocardiography Loop Recorder with CC Score 3+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY12B,Implantation of Electrocardiography Loop Recorder with CC Score 0-2,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY13Z,Removal of Electrocardiography Loop Recorder,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY14A,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with Extraction or Major Open Procedure, with CC Score 9+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY14B,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with Extraction or Major Open Procedure, with CC Score 0-8",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY15A,"Implantation of Cardioverter Defibrillator, with Extraction or Major Open Procedure, with CC Score 9+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY15B,"Implantation of Cardioverter Defibrillator, with Extraction or Major Open Procedure, with CC Score 0-8",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY16A,"Extraction of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 10+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY16B,"Extraction of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-9",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY17A,"Explantation or Attention to, Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY17B,"Explantation or Attention to, Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY20A,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 8+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY20B,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 0-7",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY21A,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 8+",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY21B,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 0-7",4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY22A,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY22B,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY22C,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY23A,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY23B,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY23C,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY30A,Complex Percutaneous Transluminal Ablation of Heart with CC Score 3+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY30B,Complex Percutaneous Transluminal Ablation of Heart with CC Score 0-2,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY31A,Standard Percutaneous Transluminal Ablation of Heart with CC Score 3+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY31B,Standard Percutaneous Transluminal Ablation of Heart with CC Score 0-2,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY32A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 2+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY32B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-1,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY40A,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY40B,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY40C,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY40D,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY41A,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY41B,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY41C,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY41D,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY42A,Complex Cardiac Catheterisation with CC Score 7+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY42B,Complex Cardiac Catheterisation with CC Score 4-6,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY42C,Complex Cardiac Catheterisation with CC Score 2-3,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY42D,Complex Cardiac Catheterisation with CC Score 0-1,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY43A,Standard Cardiac Catheterisation with CC Score 13+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY43B,Standard Cardiac Catheterisation with CC Score 10-12,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY43C,Standard Cardiac Catheterisation with CC Score 7-9,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY43D,Standard Cardiac Catheterisation with CC Score 4-6,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY43E,Standard Cardiac Catheterisation with CC Score 2-3,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY43F,Standard Cardiac Catheterisation with CC Score 0-1,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY44A,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY44B,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY44C,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY44D,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY50Z,Complex Echocardiogram,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
EY51Z,Electrocardiogram Monitoring or Stress Testing,4+,C,N,E,Cardiac,EY,Interventional Cardiology for Acquired Conditions
FD01A,"Gastrointestinal Infections with Multiple Interventions, with CC Score 4+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01B,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01C,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01D,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01E,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01F,"Gastrointestinal Infections without Interventions, with CC Score 8+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01G,"Gastrointestinal Infections without Interventions, with CC Score 5-7",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01H,"Gastrointestinal Infections without Interventions, with CC Score 2-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD01J,"Gastrointestinal Infections without Interventions, with CC Score 0-1",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02A,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02B,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02C,"Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02D,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02E,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02F,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02G,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD02H,"Inflammatory Bowel Disease without Interventions, with CC Score 0",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03A,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 5+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03B,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03C,"Gastrointestinal Bleed with Single Intervention, with CC Score 8+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03D,"Gastrointestinal Bleed with Single Intervention, with CC Score 5-7",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03E,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03F,"Gastrointestinal Bleed without Interventions, with CC Score 9+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03G,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD03H,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD04A,"Nutritional Disorders with Interventions, with CC Score 2+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD04B,"Nutritional Disorders with Interventions, with CC Score 0-1",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD04C,"Nutritional Disorders without Interventions, with CC Score 6+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD04D,"Nutritional Disorders without Interventions, with CC Score 2-5",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD04E,"Nutritional Disorders without Interventions, with CC Score 0-1",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD05A,Abdominal Pain with Interventions,4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD05B,Abdominal Pain without Interventions,4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10A,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 8+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10B,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 5-7",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10C,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 3-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10D,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 0-2",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10E,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 9+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10F,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 5-8",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10G,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 3-4",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10H,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 0-2",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10J,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 11+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10K,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 6-10",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10L,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 3-5",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD10M,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 0-2",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD11A,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 7+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD11B,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 3-6",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD11C,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 0-2",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD11D,"Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 6+",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD11E,"Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 3-5",4+,C,N,F,Digestive System,FD,Digestive System Disorders
FD11F,"Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 0-2",4+,C,N,F,Digestive System,FD,Digestive System Disorders
